City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
313,Port Hedland,AU,-20.3167,118.5667,86.05,74,75,5.75,broken clouds
314,Odweyne,SO,9.4092,45.064,63.19,50,2,0.87,clear sky
315,Garissa,KE,-0.4536,39.6401,78.28,68,95,7.78,overcast clouds
316,Veraval,IN,20.9,70.3667,63.54,62,9,2.44,clear sky
317,Ushtobe,KZ,45.2514,77.9838,12.9,89,13,10.02,few clouds
318,Richards Bay,ZA,-28.783,32.0377,71.64,95,100,15.61,heavy intensity rain
319,Humboldt,US,40.6665,-123.9178,49.68,62,96,4.63,overcast clouds
320,Ochamchira,GE,42.7121,41.4721,39.34,77,100,9.51,light rain
321,Sidi Ali,DZ,36.0998,0.4206,53.55,65,99,2.82,overcast clouds
322,Bud,US,39.447,-86.1758,21.25,82,68,3.96,broken clouds
323,Kawambwa,ZM,-9.7915,29.0791,59.32,96,100,2.75,overcast clouds
324,Bangui,CF,4.3612,18.555,77.18,50,100,0.0,overcast clouds
325,Waddan,LY,29.1614,16.139,50.9,44,0,5.86,clear sky
326,Haines Junction,CA,60.7522,-137.5108,3.15,66,100,4.61,overcast clouds
327,Taoudenni,ML,22.6783,-3.9836,66.47,13,73,9.78,broken clouds
328,Shelburne,CA,44.0787,-80.2041,9.55,82,100,5.5,overcast clouds
329,Severo-Kurilsk,RU,50.6789,156.125,30.33,91,100,7.43,light snow
330,Nouakchott,MR,18.0858,-15.9785,69.73,37,0,9.86,clear sky
331,Olafsvik,IS,64.8945,-23.7142,27.64,69,100,24.9,overcast clouds
332,Urumqi,CN,43.801,87.6005,-1.25,85,75,2.24,fog
333,Aykino,RU,62.2248,49.9922,-9.17,100,93,2.91,overcast clouds
334,Kashin,RU,57.3592,37.6081,-2.09,100,98,3.47,overcast clouds
335,La Ronge,CA,55.1001,-105.2842,-10.95,70,100,5.75,overcast clouds
336,Shaping,CN,22.7545,112.9565,48.94,64,17,8.63,few clouds
337,Delta,NG,5.5,6.0,78.06,80,10,2.64,clear sky
338,Emirdag,TR,39.0197,31.15,16.66,85,16,4.99,few clouds
339,Halifax,CA,44.6453,-63.5724,33.22,98,100,4.0,snow
340,Fort Nelson,CA,58.8053,-122.7002,-11.61,77,100,2.3,light snow
341,Belluru,IN,12.9911,76.7444,62.06,49,22,4.27,few clouds
342,Bolivar,US,37.6145,-93.4105,27.36,61,3,7.7,clear sky
343,Bongaree,AU,-27.0797,153.1586,79.21,62,100,24.87,overcast clouds
344,Finschhafen,PG,-6.6024,147.8681,86.02,72,73,12.39,broken clouds
